Title,Cleaned_Description
Counter-Strike 2,"Counter-Strike는 20년이 넘는 시간 동안 전 세계 수백만 명의 플레이어가 모여 수준 높은 경쟁을 펼칠 수 있는 플랫폼을 제공해 왔습니다. 그리고 이제 곧 Counter-Strike 2와 함께 새로운 CS 시대의 막이 열립니다. CS:GO의 무료 업그레이드 버전인 Counter-Strike 2는 Counter-Strike 역사상 가장 큰 기술적 도약을 이루어 냈습니다. Source 2 엔진으로 개발되었으며 사실적인 물리 기반 렌더링, 최첨단 네트워크, 업그레이드된 커뮤니티 창작마당 도구를 통해 현대적인 모습으로 재탄생했습니다. Counter-Strike 2는 1999년 Counter-Strike가 개척한 고전적인 목표 중심 게임플레이 외에도 다음과 같은 기능을 제공합니다. 업데이트된 프리미어 모드와 함께 완전히 새로워진 CS 등급 시스템 전 세계 및 지역 순위표 대대적인 맵 업그레이드 및 전면 개편 역동적인 연막탄 틱 속도에 구애받지 않는 게임플레이 새롭게 디자인된 시각 효과 및 사운드 CS:GO의 모든 아이템을 CS2로 이전"
Dota 2,"Steam에서 가장 많이 플레이되는 게임 매일, 전 세계 수백 만의 플레이어가 백여 명의 도타 영웅 중 하나가 되어 전장에 뛰어듭니다. 10시간을 했든, 1,000시간을 했든 언제나 새롭게 느껴지는 무언가가 있습니다. 정기적인 업데이트로 게임플레이, 기능, 영웅이 끊임없이 진화하는 도타 2는 진정 그 자체의 생명력으로 살아 숨 쉬는 게임입니다. 전장은 하나, 가능성은 무한 다양한 영웅, 능력, 강력한 아이템으로 무한한 조합이 가능하기에 도타는 절대로 같은 게임이 두 번 나올 수 없습니다. 어떤 영웅이든 다른 역할을 맡을 수 있으며 각 게임의 필요에 맞춰 다양한 아이템을 활용할 수 있습니다. 도타는 플레이 방식에 아무런 제한을 두지 않고 자신만의 스타일대로 즐길 수 있는 게임입니다. 모든 영웅이 무료 경쟁의 균형은 도타에서 가장 가치 있는 자산이기에 누구나 공평한 바탕 위에서 플레이하며 방대한 영웅 종류 등 게임의 핵심 콘텐츠 또한 모두가 똑같이 누릴 수 있도록 보장합니다. 영웅을 위한 치장 아이템이나 환경을 위한 재미있는 애드온을 수집할 수는 있지만, 그 외 플레이에 꼭 필요한 부분은 첫 번째 매치에 나서기도 전에 팬 여러분 모두를 위해 갖춰져 있습니다. 친구와 함께하는 파티 도타는 심오하며 끊임없이 진화하지만, 언제든 시작해도 좋습니다. 봇을 상대로 협동 플레이하는 요령을 익혀 보세요. 영웅 체험 모드에서 실력을 갈고닦아 보세요. 지금 당장 뛰어들어 보세요. 실력에 따른 매치메이킹 시스템으로 게임마다 딱 맞는 상대와 만날 수 있습니다."
PUBG: BATTLEGROUNDS,LAND 다양한 맵과 끊임없이 줄어드는 블루존 속에서 생존을 위한 전략을 세우세요. 안전하지만 보급이 부족한 외곽에 낙하할 것인가요? 아니면 무기와 보급품이 풍부하지만 위험한 도심 한복판에 뛰어들어 즉시 전투를 벌일 것인가요? 당신의 선택이 생존을 좌우합니다.
마블 라이벌즈,"슈퍼 히어로 PVP 팀 슈팅 게임 를 소개합니다. 플레이어는 슈퍼 히어로와 빌런 진영에서 원하는 캐릭터를 골라 올스타팀을 구성할 수 있습니다. 마블 유니버스의 다양한 맵을 활용하고 캐릭터 본연의 능력과 팀업 스킬을 전략적으로 조합하여 전투를 승리로 이끄세요! 다채로운 마블 캐릭터 라인업 '어벤져스', '가디언즈 오브 갤럭시', '엑스맨' , 등 마블 유니버스를 총망라한 세계에서 ‘블랙 팬서’, ‘스파이더맨’, ‘매그니토’, ‘매직’ 등 마블의 인기 슈퍼 히어로와 빌런이 되어 화려한 전투를 즐길 수 있습니다. 빠른 속도감과 역동적인 6v6 대전 디테일한 환경, 빠른 속도감, 시시각각 변화하는 전장. 한순간도 눈을 뗄 수 없을 것입니다! 놀라운 능력을 가진 슈퍼 히어로와 빌런이 되어 전투에 참가하고, 캐릭터의 고유 능력을 결합하여 역동적인 플레이를 즐길 수 있습니다. 다이내믹한 히어로 시너지 캐릭터 간의 독특한 조합을 활용해 팀업 스킬을 시전하세요. 캐릭터의 시너지와 팀업 스킬로 전투의 흐름을 바꿀 수 있습니다. ‘그루트’의 등에 올라탄 ‘로켓 라쿤’이 되어 적들에게 맹공을 퍼붓거나, ‘헐크’의 감마 에너지를 방출하여 ‘아이언맨’의 슈트를 충전해 줄 수도 있습니다. 더 많은 캐릭터 시너지와 팀업 스킬을 찾아보세요. 창의적인 맵 활용 아스가르드에서 2099년 도쿄에 이르기까지, 다양한 마블 유니버스의 맵이 준비되어 있습니다. 캐릭터의 초능력으로 직접 지형을 바꿔 전략적인 이점을 만들어 내거나, 엄폐물에 몸을 숨기고 기회를 살피세요. 때로는 지형지물이 강력한 무기가 되어 적을 섬멸하는 데 도움을 줄 것입니다. 수많은 창의적인 방법으로 맵을 활용하고 승리를 쟁취하세요! 끝없이 팽창하는 마블 유니버스와 시즌 업데이트 마블 유니버스는 무한한 가능성을 가지고 있습니다. 새로운 시즌마다 신규 슈퍼 히어로와 빌런이 전장에 합류하고, 도전 정신을 자극하는 신규 맵이 업데이트됩니다. 또한 시즌마다 새롭게 출시되는 콘텐츠를 활용하여 새로운 전략을 구상할 수 있습니다. 짜릿한 전투와 무한한 가능성을 직접 체험해 보세요!"
Apex 레전드™,"무료 플레이* 히어로 슈팅 게임 Apex 레전드에서 나만의 캐릭터로 전장을 점령하세요. 강력한 능력을 지닌 레전드 캐릭터들이 힘을 합쳐 프런티어의 변경에서 영예와 부를 차지하기 위한 전투에 뛰어드세요. 계속 추가되는 레전드, 깊이 있는 전술적 분대 플레이, 배틀 로얄 그 이상의 혁신을 경험하세요. 이 모든 것이 어떤 제약도 없는 거친 세계에서 펼쳐집니다. 새롭게 진화한 히어로 슈팅을 플레이하세요. 주요 특징 이 게임에는 무작위로 선정된 가상의 게임 내 아이템을 포함한 가상의 게임 내 아이템을 획득하는 데 사용할 수 있는 가상 화폐의 게임 내 구매 옵션이 포함되어 있습니다."
War Thunder,"War Thunder는 제 2차 세계대전부터 현대전까지의 항공기, 전차, 함선, 헬리콥터를 플레이 할 수 있는 온라인 게임 역사상 가장 거대한 스케일과 Windows, Linux, Mac, PlayStation®4, PlayStation®5, Xbox One 그리고 Xbox Series X|S 에 이르는 광범위한 크로스 플랫폼 기능을 자랑하는 밀리터리 MMO 게임입니다. 지금 게임에 참여하셔서 War Thunder가 제공하는 지상, 공중, 해상의 거대한 전장 서사시에 직접 참여하십시오. War Thunder 에서는 현실적으로 디자인된 전장에 여러분이 직접 운용할 수 있는 2,500여 대 이상의 항공기, 전차, 헬리콥터, 함선이 한 데 어우러져 복합적인 전장을 만들어 냅니다. 요격기로부터 당신의 폭격기를 방어하는 기총 사수가 될 수도 있고, 적의 공습으로부터 아군을 엄호하는 대공화기 사수가 될 수도 있으며, 로켓 샤워를 통해 적의 항공기를 제압하는 파일럿이 되거나 고속정을 이용하여 적의 군함을 기습하는 함장이 될 수도 있습니다."
Delta Force,"Delta Force 의 귀환! 돌아온 클래식 시리즈! 무료 플레이를 지원하는 팀 베이스 현대 전술 사격 게임이 4종의 독특한 게임 모드를 선보입니다. - 전면전: 육해공을 넘나드는 전장에서 32 v 32 PvP 전투로 적과 맞서며, 다양한 탈것과 독특한 전술 장비를 경험하세요. - 비콘 에어리어: 의 새로운 철수 모드에서는 분대와 함께 적 후방에 잠입하게 됩니다. 귀중품을 수색하며 적 플레이어와 맞서 싸우고, 위험 지역에서 신속히 철수하세요. 또한, PvE 협력 작전에는 목표 기반의 도전적인 임무가 제공됩니다. 분대의 한계를 시험해 보세요. - : 이 클래식 시리즈의 리메이크 버전에서 플레이어는 전설적인 Delta Force의 오퍼레이터가 되어 2001년 걸작 영화를 기반으로 한 캠페인을 경험하게 됩니다. 우리는 과금 없이도 강해질 수 있다는 원칙을 지켜나가며, 커뮤니티의 피드백을 경청하고 게임 개발에 반영합니다. 공정한 플레이는 가장 중요한 가치이며, G.T.I. Security 부정행위 방지 전담 팀이 규정 위반 플레이어를 식별 및 제재하여 공정한 게임 환경을 조성해 나갈 것입니다. 기억하세요... “단 한 명의 플레이어, 단 한 명의 분대원도 포기하지 않습니다.”"
Warframe,"이 스토리 중심의 부분 유료 온라인 액션 게임에서 그 누구도 멈출 수 없는 강력한 전사로 깨어나 동료들과 함께 싸움에 임하세요. 여러 행성에 걸쳐 뻗어나가는 성계 이곳저곳에서 전쟁을 벌이는 세력들과 맞서며, 신비로운 인물, 로터스의 안내에 따르며 워프레임을 레벨업하고, 파괴적인 화력을 가진 무기고를 쌓아올리고, 이 짜릿한, 전혀 새로운 장르의 3인칭 전투 경험 속의 거대한 오픈 월드에서 여러분의 진짜 잠재력을 불러일으키세요. 강력한 전사가 되어보자 상상할 수 없는 힘을 지닌 바이오메탈 수트, 워프레임에 들어가세요. 그들의 어빌리티를 발휘하고 광범위한 종류의 파괴적인 무기를 이용해 눈에 보이는 적의 무리들을 손쉽게 섬멸하세요. 그리고 학살이 끝난 후엔, 각자가 고유한 세트의 어빌리티를 지닌 40종 이상의 다양한 워프레임들을 게임플레이로 획득하거나 즉시 구매하여 여러분이 원하는 형태의 대혼란을 어떤 식으로든 다시 체험할 수 있습니다. 친구들과 함께하는 전투 친구들과 분대를 꾸려 서로 긴밀한 협력이 가능한 코옵 게임플레이에서 함께 미션을 완료하고 값진 보너스 보상들을 손에 넣어보세요. 여러분의 워프레임이 가진 어빌리티를 활용해 아군을 치유하고, 적의 탄환을 되돌리고, 여러분의 목표를 달성해 보세요. 특정한 구간에서 막히셨다구요? 게임 내 매치메이킹을 통해서라면 누군가의 도움이 필요할 때 언제든 동료 텐노들과 쉽게 연결될 수 있습니다! 광대한 시스템 탐험 워프레임의 매혹적인 파쿠르 스킬로 지상에서의 미션을 능숙하게 달려 나가거나, 여러분 스스로의 입맛에 맞춰 커스터마이징할 수 있는 우주선을 타고 별들 사이로 나가 함선 대 함선전에 참여해 보세요. 신비로운 오픈 월드 맵에 정처없이 빠져들며, 멋진 생명체들 - 우호적이든, 적대적이든 -로 가득찬 생태계를 찾아보실 수도 있습니다. 5개의 확장편에 걸쳐 펼쳐지는 워프레임의 장대한 시네마틱 스토리, 그리고 30개 이상의 스토리 기반 퀘스트를 경험하며 근원계의 광범위한 역사에 경탄해 보세요. 여정을 시작하며 3종의 오리지널 워프레임 중 하나를 통해 첫 전능감을 맛보고 내면의 힘을 이끌어내세요. 여러분의 기술을 갈고 닦으며 여러분의 각성 뒤에 숨겨진 진실을 찾아내 보세요. [/img 여러분이 처음으로 받는 스타팅 워프레임은 불과 시작에 지나지 않습니다. 수많은 종류의 파괴적으로 강력한 무장, 그리고 탈것과 동반자 등을 제작하고, 여러분만의 독특한 플레이스타일에 딱 맞는 장비의 조합을 찾아낼 때까지 이들을 레벨업하고 경험해 보세요. 여러분의 무장에 한껏 멋을 더해 위협적인 모습을 만들어냄으로써, 여러분만의 스타일로 디자인한 장비 설정을 뽐내 보세요. 근원계에 발을 들인다는 것은 각자가 개성에 맞춰 설정한 워프레임, 무기 및 장비를 지닌, 수없이 많은 친절한 동료 텐노들의 일원이 된다는 겁니다. 장비 설정을 여러분의 취향에 맞춰 더 향상시킬 수 있는 이 엄청난 경우의 수라면, 여러분 자신의 워프레임을 위한 완벽한 룩을 디자인해가는 것이야말로 여러분과 분대원들에게 끝없고도 무한한 보상을 주는 도전이 되겠지요!"
Yu-Gi-Oh! Master Duel,"「유희왕」을 본격 디지털 카드 게임으로! 25년 이상의 시간에 걸쳐 지금도 진화하고 있는 전략성 카드 게임의 결정판! 사상 최고봉의 듀얼이 당신을 기다린다! 이 결투에 당신은 따라올 수 있을까?! ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー 【「Yu-Gi-Oh! Master Duel」이란】 대 인기 카드 게임 「유희왕OCG」를 온라인으로 즐길 수 있는 디지털 카드 게임 호화로운 그래픽, 매력적인 사운드, 경쾌한 템포로 듀얼이 펼쳐진다! 전 세계의 듀얼리스트들과 「유희왕」을 본격적으로 플레이 해 보자! ◇일단 듀얼로 실전이다! 처음 받는 덱으로 일단 듀얼을 시작해보자! 물론, 오랜만에 플레이 하는 사람이나 처음 시작하는 사람도 안심하고 플레이 할 수 있게 충실한 튜토리얼 요소도 준비되어 있다. 게임을 진행하여 다양한 카드를 모아보자! ◇다양한 규칙의 이벤트와 대회 실시! 듀얼리스트 라이프를 풍족하게! 누구든 즐길 수 있는 다양한 이벤트와 대회를 준비! 10,000종류가 넘게 수록된 카드로, 다양한 덱과 다양한 듀얼을 즐겨보자! 당신이 자신 있는 규칙의 대회에서 최고를 노려보자! ◇카드 일러스트에 담겨있는 이야기! 혼자서도 느긋하게 꼼꼼한 플레이가 가능한 솔로 모드 탑재! 카드에 얽힌 다양한 이야기와 세계를 따라가며 게임을 클리어 하면, 듀얼 실력도 착실하게 스텝 업! 유희왕의 세계를 보다 깊이 알고 싶은 사람은 물론, 처음 플레이 하는 사람이나 오랜만에 플레이 하는 사람에게도 추천! ◇다양한 기능으로 듀얼을 서포트! 모바일 앱 「Yu-Gi-Oh! Neuron」과도 연동! 전 세계 듀얼리스트들의 수많은 덱을 참조하여 오리지널 덱을 만들자! 시험 드로우 기능을 사용하여 듀얼 시작 시의 패를 확인하는 것도 가능! 덱의 정확도를 높이자! [유희왕에 대하여] 「유희왕」은 1996년도부터 주식회사 슈에이샤의 「주간 소년 점프」에 연재된 타카하시 카즈키 선생 원작의 인기 만화이며, 코나미 디지털 엔터테인먼트에서는 원작 만화를 영상화 한 애니메이션 「유희왕」시리즈를 소재로 한 트레이딩 카드 게임(TCG)과 가정용 게임을 전 세계의 고객 여러분께 제공하고 있습니다. 【이런 분들에게 추천!】 「Yu-Gi-Oh! OCG」를 즐기시는 분 「Yu-Gi-Oh! Duel Links」를 즐기시는 분 인기 대전 게임을 즐기시고 싶은 분 ーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーーー 본 게임은 랜덤 배출되는 게임 내 아이템을 획득하기 위해 사용되는 가상화폐를 게임 내에서 구입할 수 있는 기능을 포함합니다."
오버워치™ 2,"오버워치 2는 평단의 찬사를 받은 팀 기반 슈팅 게임입니다. 희망찬 미래를 배경으로 하며, 새로운 영웅들이 꾸준히 등장하고 있습니다. 친구들과 팀을 이루고 지금 플레이하세요."
